Age,Attrition,Department,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,DistanceFromHome,Education,OverTime,NumCompaniesWorked,JobRole
40,No,HR,8182,1,4,39,25,2,No,4,Engineer
30,No,R&D,2000,1,2,6,19,2,Yes,0,Sales Executive
59,No,HR,19444,3,2,36,6,1,No,5,Manager
41,No,Sales,16577,1,3,37,7,2,No,2,Manager
52,No,HR,9903,4,3,3,12,3,No,9,Manager
22,No,HR,8438,4,1,36,28,3,No,8,HR Executive
21,Yes,HR,10474,4,3,24,27,1,Yes,7,Manager
45,No,HR,6419,2,1,36,15,3,No,5,Sales Executive
52,Yes,Sales,11950,2,2,11,7,1,Yes,7,Sales Executive
39,No,R&D,19647,2,1,27,29,2,Yes,0,Technician
49,No,Sales,18851,1,1,5,25,3,Yes,4,Engineer
51,No,R&D,18458,2,2,5,8,3,Yes,0,Engineer
18,No,HR,4817,2,3,29,28,1,Yes,3,Engineer
29,No,R&D,8715,2,1,10,8,2,Yes,7,Manager
59,No,R&D,11161,3,4,11,15,3,No,6,Technician
53,Yes,R&D,11229,4,2,13,2,3,No,1,Sales Executive
31,Yes,Sales,2957,3,1,30,8,4,Yes,6,Manager
35,No,R&D,6979,3,2,4,25,4,Yes,5,Sales Executive
34,No,Sales,8100,2,4,27,4,4,Yes,4,Manager
59,No,Sales,2422,4,1,14,26,3,No,0,HR Executive
27,No,R&D,3469,1,2,36,28,2,Yes,0,HR Executive
18,No,Sales,12332,4,2,25,5,3,No,9,Manager
18,No,R&D,13689,2,3,38,20,1,No,2,HR Executive
29,No,R&D,7302,1,3,26,14,3,Yes,2,Engineer
43,No,Sales,13389,4,2,31,8,4,Yes,5,HR Executive
34,No,R&D,11564,2,2,37,20,2,No,4,Manager
50,No,HR,5021,3,4,18,2,3,Yes,0,Technician
49,No,Sales,14676,1,2,34,3,1,Yes,7,Technician
19,No,Sales,3552,1,2,18,6,4,Yes,9,Technician
28,No,Sales,7519,3,3,2,5,1,No,5,Engineer
40,No,R&D,10550,2,2,28,27,4,Yes,6,Engineer
45,Yes,Sales,13376,2,1,22,22,4,No,5,Engineer
57,No,R&D,17357,3,2,24,9,2,No,9,HR Executive
39,No,Sales,3373,3,4,34,15,4,No,3,Manager
20,No,Sales,13163,3,2,16,17,3,No,1,Technician
34,No,HR,8484,1,3,16,19,2,Yes,2,HR Executive
26,No,R&D,6461,3,1,25,7,4,Yes,8,Manager
42,No,R&D,5701,1,1,39,11,2,Yes,6,HR Executive
51,No,R&D,16171,3,3,22,23,2,Yes,8,Engineer
57,No,R&D,17113,1,4,22,7,2,Yes,3,Manager
38,Yes,HR,3148,1,4,36,22,3,No,2,Sales Executive
44,No,R&D,4367,3,4,31,3,3,No,1,Sales Executive
35,No,Sales,14180,2,3,9,3,2,Yes,3,HR Executive
32,No,Sales,5125,2,4,25,1,4,Yes,5,Sales Executive
42,No,R&D,7329,1,3,32,4,1,No,6,Sales Executive
31,No,R&D,14354,2,2,6,17,1,No,7,Engineer
19,No,R&D,18955,1,3,31,17,3,Yes,5,HR Executive
56,No,R&D,19121,3,3,25,25,1,Yes,1,Manager
37,No,Sales,10330,3,1,2,17,1,Yes,6,Technician
51,Yes,R&D,4182,4,4,23,16,2,Yes,4,Manager
33,No,HR,10911,2,2,14,12,1,No,7,Engineer
50,Yes,Sales,8597,2,2,32,12,3,Yes,3,Manager
29,No,HR,14486,2,2,7,8,4,Yes,3,Engineer
20,Yes,R&D,16001,3,1,13,13,4,No,1,Sales Executive
56,No,R&D,17776,1,3,32,1,4,No,8,Technician
52,No,Sales,3381,4,3,32,23,3,Yes,9,Sales Executive
22,No,R&D,15863,2,4,10,17,4,No,2,Engineer
50,Yes,R&D,14686,1,1,8,8,2,Yes,2,HR Executive
55,No,HR,8755,2,2,29,3,2,No,2,HR Executive
47,No,Sales,6751,4,2,4,6,1,Yes,9,Technician
23,No,HR,18778,1,4,33,23,3,Yes,4,Engineer
51,No,HR,16743,2,1,37,1,1,Yes,0,Technician
56,No,Sales,5891,2,3,8,13,4,No,8,Sales Executive
28,Yes,R&D,10088,1,1,13,26,1,Yes,3,Engineer
27,No,HR,2904,2,3,16,19,2,No,3,Engineer
47,No,Sales,19281,4,3,21,18,4,No,8,Manager
44,No,R&D,7521,1,1,18,19,1,Yes,0,Technician
40,No,Sales,9911,2,1,38,25,1,Yes,1,Manager
37,Yes,Sales,15262,2,3,31,8,1,Yes,0,Technician
43,No,Sales,10362,2,4,4,22,3,No,2,HR Executive
24,No,Sales,5643,1,3,6,10,4,Yes,9,Engineer
29,No,Sales,2516,2,4,8,18,2,Yes,6,Technician
34,No,Sales,13076,1,3,6,1,2,No,4,Technician
28,No,Sales,7960,1,1,14,24,3,Yes,5,Sales Executive
37,No,HR,12118,3,4,23,14,2,No,7,Technician
57,No,HR,7148,4,1,32,18,4,Yes,4,Sales Executive
51,No,R&D,9313,2,3,37,5,3,Yes,2,Manager
49,No,HR,14947,1,1,12,29,2,No,0,HR Executive
53,No,Sales,18923,3,4,6,12,4,No,7,Manager
56,No,HR,12998,2,1,0,17,3,Yes,8,Technician
57,No,Sales,7088,3,1,7,6,3,No,3,Sales Executive
59,Yes,Sales,11181,1,1,33,24,4,No,9,Manager
40,No,R&D,7842,4,1,21,3,1,No,2,Engineer
38,No,Sales,17255,1,1,26,24,2,Yes,8,Engineer
23,No,R&D,5143,3,4,36,29,4,Yes,7,HR Executive
52,No,HR,15766,4,2,2,3,4,Yes,6,Manager
30,Yes,HR,14404,4,1,19,19,2,No,6,Sales Executive
53,No,HR,8138,4,1,29,29,1,No,9,Engineer
21,Yes,HR,11274,3,4,18,5,2,No,0,HR Executive
18,No,Sales,10925,4,4,25,29,2,No,6,Engineer
54,No,R&D,17404,4,2,34,4,2,Yes,1,Engineer
20,No,Sales,3282,3,2,34,16,2,No,3,Technician
34,No,HR,10421,3,2,34,23,4,Yes,7,Sales Executive
